Y,x
102.95,0.675
280.32,0.675
339.83,0.675
366.9,0.675
485.62,0.675
658.96,0.675
896.33,0.675
1241.76,0.675
1250.2,0.675
1329.78,0.675
1399.83,0.675
1459.14,0.675
3249.82,0.675
11748.1,0.675
11748.1,0.675
6.71,0.75
9.93,0.75
12.6,0.75
15.58,0.75
16.19,0.75
17.28,0.75
18.62,0.75
20.3,0.75
24.9,0.75
26.26,0.75
27.94,0.75
36.35,0.75
48.42,0.75
50.09,0.75
67.34,0.75
1.246,0.825
1.258,0.825
1.46,0.825
1.492,0.825
2.4,0.825
2.41,0.825
2.59,0.825
2.903,0.825
3.33,0.825
3.59,0.825
3.847,0.825
4.11,0.825
4.82,0.825
5.56,0.825
5.598,0.825
0.201,0.9
0.216,0.9
0.226,0.9
0.252,0.9
0.257,0.9
0.295,0.9
0.311,0.9
0.342,0.9
0.356,0.9
0.451,0.9
0.457,0.9
0.509,0.9
0.54,0.9
0.68,0.9
1.129,0.9
0.037,0.95
0.072,0.95
0.074,0.95
0.076,0.95
0.083,0.95
0.085,0.95
0.105,0.95
0.109,0.95
0.12,0.95
0.123,0.95
0.143,0.95
0.203,0.95
0.206,0.95
0.217,0.95
0.257,0.95
